,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval0,PromoInterval1,PromoInterval2,PromoInterval3
0,1,c,a,1270.0,9.0,2008.0,0,0.0,2008.0,0,0,0,0
1,2,a,a,570.0,11.0,2007.0,1,13.0,2007.0,1,4,7,10
2,3,a,a,14130.0,12.0,2006.0,1,14.0,2006.0,1,4,7,10
3,4,c,c,620.0,9.0,2009.0,0,0.0,2009.0,0,0,0,0
4,5,a,a,16107.5,4.0,2015.0,0,0.0,2015.0,0,0,0,0
5,6,a,a,310.0,12.0,2013.0,0,0.0,2013.0,0,0,0,0
6,7,a,c,16107.5,4.0,2013.0,0,0.0,2013.0,0,0,0,0
7,8,a,a,7520.0,10.0,2014.0,0,0.0,2014.0,0,0,0,0
8,9,a,c,2030.0,8.0,2000.0,0,0.0,2000.0,0,0,0,0
9,10,a,a,3160.0,9.0,2009.0,0,0.0,2009.0,0,0,0,0
10,11,a,c,960.0,11.0,2011.0,1,1.0,2011.0,1,4,7,10
11,12,a,c,1070.0,1.0,1990.0,1,13.0,1990.0,1,4,7,10
12,13,d,a,310.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
13,14,a,a,1300.0,3.0,2014.0,1,40.0,2014.0,1,4,7,10
14,15,d,c,4110.0,3.0,2010.0,1,14.0,2010.0,1,4,7,10
15,16,a,c,3270.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
16,17,a,a,50.0,12.0,2005.0,1,26.0,2005.0,1,4,7,10
17,18,d,c,13840.0,6.0,2010.0,1,14.0,2010.0,1,4,7,10
18,19,a,c,3240.0,1.0,1990.0,1,22.0,1990.0,3,6,9,12
19,20,d,a,2340.0,5.0,2009.0,1,40.0,2009.0,1,4,7,10
20,21,c,c,550.0,10.0,1999.0,1,45.0,1999.0,1,4,7,10
21,22,a,a,1040.0,1.0,1990.0,1,22.0,1990.0,1,4,7,10
22,23,d,a,4060.0,8.0,2005.0,0,0.0,2005.0,0,0,0,0
23,24,a,c,4590.0,3.0,2000.0,1,40.0,2000.0,1,4,7,10
24,25,c,a,430.0,4.0,2003.0,0,0.0,2003.0,0,0,0,0
25,26,d,a,2300.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
26,27,a,a,60.0,1.0,2005.0,1,5.0,2005.0,1,4,7,10
27,28,a,a,1200.0,10.0,2014.0,1,6.0,2014.0,3,6,9,12
28,29,d,c,2170.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
29,30,a,a,40.0,2.0,2014.0,1,10.0,2014.0,3,6,9,12
30,31,d,c,9800.0,7.0,2012.0,0,0.0,2012.0,0,0,0,0
31,32,a,a,2910.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
32,33,a,c,1320.0,5.0,2013.0,0,0.0,2013.0,0,0,0,0
33,34,c,a,2240.0,9.0,2009.0,0,0.0,2009.0,0,0,0,0
34,35,d,c,7660.0,10.0,2000.0,1,1.0,2000.0,1,4,7,10
35,36,a,c,540.0,6.0,2003.0,1,40.0,2003.0,1,4,7,10
36,37,c,a,4230.0,12.0,2014.0,0,0.0,2014.0,0,0,0,0
37,38,d,a,1090.0,4.0,2007.0,0,0.0,2007.0,0,0,0,0
38,39,a,a,260.0,10.0,2006.0,1,31.0,2006.0,2,5,8,11
39,40,a,a,180.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
40,41,d,c,1180.0,1.0,1990.0,1,31.0,1990.0,1,4,7,10
41,42,a,c,290.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
42,43,d,a,4880.0,1.0,1990.0,1,37.0,1990.0,1,4,7,10
43,44,a,a,540.0,6.0,2011.0,0,0.0,2011.0,0,0,0,0
44,45,d,a,9710.0,2.0,2014.0,0,0.0,2014.0,0,0,0,0
45,46,c,a,1200.0,9.0,2005.0,1,14.0,2005.0,1,4,7,10
46,47,a,c,270.0,4.0,2013.0,1,14.0,2013.0,1,4,7,10
47,48,a,a,1060.0,5.0,2012.0,0,0.0,2012.0,0,0,0,0
48,49,d,c,16107.5,9.0,2007.0,0,0.0,2007.0,0,0,0,0
49,50,d,a,6260.0,11.0,2009.0,0,0.0,2009.0,0,0,0,0
50,51,a,c,10570.0,7.0,2013.0,1,9.0,2013.0,1,4,7,10
51,52,d,c,450.0,4.0,2014.0,1,39.0,2014.0,1,4,7,10
52,53,a,c,16107.5,9.0,2013.0,0,0.0,2013.0,0,0,0,0
53,54,d,c,7170.0,8.0,2014.0,1,5.0,2014.0,2,5,8,11
54,55,a,a,720.0,11.0,2004.0,0,0.0,2004.0,0,0,0,0
55,56,d,c,6620.0,3.0,2012.0,1,10.0,2012.0,3,6,9,12
56,57,d,c,420.0,6.0,2014.0,0,0.0,2014.0,0,0,0,0
57,58,a,c,7340.0,5.0,2008.0,1,27.0,2008.0,1,4,7,10
58,59,a,c,2840.0,6.0,2007.0,1,14.0,2007.0,1,4,7,10
59,60,d,c,5540.0,10.0,2009.0,0,0.0,2009.0,0,0,0,0
60,61,a,c,350.0,12.0,2007.0,1,1.0,2007.0,1,4,7,10
61,62,a,a,2050.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
62,63,c,c,3700.0,6.0,2010.0,1,18.0,2010.0,2,5,8,11
63,64,d,c,16107.5,1.0,1990.0,1,14.0,1990.0,1,4,7,10
64,65,a,c,13840.0,5.0,2010.0,1,1.0,2010.0,1,4,7,10
65,66,d,a,7660.0,1.0,1990.0,1,37.0,1990.0,1,4,7,10
66,67,a,c,410.0,2.0,2006.0,0,0.0,2006.0,0,0,0,0
67,68,a,c,250.0,1.0,1990.0,1,35.0,1990.0,3,6,9,12
68,69,c,c,1130.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
69,70,c,c,4840.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
70,71,a,a,16107.5,8.0,2008.0,1,37.0,2008.0,3,6,9,12
71,72,a,a,2200.0,12.0,2009.0,1,13.0,2009.0,1,4,7,10
72,73,a,c,1650.0,9.0,2008.0,0,0.0,2008.0,0,0,0,0
73,74,a,a,330.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
74,75,d,c,16107.5,12.0,2013.0,0,0.0,2013.0,0,0,0,0
75,76,d,c,16107.5,3.0,2006.0,0,0.0,2006.0,0,0,0,0
76,77,d,c,1090.0,8.0,2009.0,1,10.0,2009.0,1,4,7,10
77,78,a,a,3510.0,11.0,2006.0,1,5.0,2006.0,2,5,8,11
78,79,a,a,3320.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
79,80,d,a,7910.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
80,81,a,a,2370.0,3.0,2011.0,1,40.0,2011.0,1,4,7,10
81,82,a,a,16107.5,4.0,2008.0,1,37.0,2008.0,1,4,7,10
82,83,a,a,2710.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
83,84,a,c,11810.0,8.0,2014.0,0,0.0,2014.0,0,0,0,0
84,85,b,a,1870.0,10.0,2011.0,0,0.0,2011.0,0,0,0,0
85,86,a,a,480.0,2.0,2005.0,1,31.0,2005.0,1,4,7,10
86,87,a,a,560.0,12.0,2010.0,0,0.0,2010.0,0,0,0,0
87,88,a,a,10690.0,10.0,2005.0,0,0.0,2005.0,0,0,0,0
88,89,a,a,2380.0,7.0,2004.0,1,40.0,2004.0,1,4,7,10
89,90,a,a,330.0,11.0,2007.0,0,0.0,2007.0,0,0,0,0
90,91,c,a,2410.0,1.0,1990.0,1,35.0,1990.0,1,4,7,10
91,92,c,a,240.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
92,93,a,a,16107.5,1.0,1990.0,1,14.0,1990.0,1,4,7,10
93,94,d,c,14620.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
94,95,a,a,1890.0,10.0,2014.0,0,0.0,2014.0,0,0,0,0
95,96,a,a,8780.0,2.0,2005.0,1,37.0,2005.0,1,4,7,10
96,97,d,c,8980.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
97,98,d,c,15140.0,12.0,2006.0,1,1.0,2006.0,1,4,7,10
98,99,c,c,2030.0,11.0,2003.0,1,22.0,2003.0,3,6,9,12
99,100,d,a,16107.5,1.0,1990.0,0,0.0,1990.0,0,0,0,0
100,101,d,c,2440.0,1.0,1990.0,1,22.0,1990.0,3,6,9,12
101,102,a,a,150.0,12.0,2007.0,1,10.0,2007.0,3,6,9,12
102,103,d,c,5210.0,5.0,2015.0,0,0.0,2015.0,0,0,0,0
103,104,a,a,390.0,6.0,2009.0,0,0.0,2009.0,0,0,0,0
104,105,a,c,6190.0,1.0,1990.0,1,23.0,1990.0,3,6,9,12
105,106,a,a,1390.0,8.0,2013.0,0,0.0,2013.0,0,0,0,0
106,107,a,a,1930.0,9.0,2009.0,0,0.0,2009.0,0,0,0,0
107,108,d,c,2190.0,9.0,2003.0,0,0.0,2003.0,0,0,0,0
108,109,a,c,3300.0,11.0,2010.0,0,0.0,2010.0,0,0,0,0
109,110,a,c,16107.5,4.0,2013.0,0,0.0,2013.0,0,0,0,0
110,111,d,c,7890.0,1.0,1990.0,1,37.0,1990.0,1,4,7,10
111,112,a,a,1630.0,9.0,2009.0,0,0.0,2009.0,0,0,0,0
112,113,d,c,16107.5,11.0,1999.0,0,0.0,1999.0,0,0,0,0
113,114,c,a,4510.0,1.0,1990.0,1,48.0,1990.0,3,6,9,12
114,115,d,c,5740.0,4.0,2007.0,1,40.0,2007.0,1,4,7,10
115,116,a,a,680.0,4.0,2013.0,0,0.0,2013.0,0,0,0,0
116,117,a,a,3450.0,9.0,2011.0,0,0.0,2011.0,0,0,0,0
117,118,d,c,3580.0,9.0,2012.0,0,0.0,2012.0,0,0,0,0
118,119,a,c,2100.0,2.0,2010.0,0,0.0,2010.0,0,0,0,0
119,120,d,a,2290.0,12.0,2014.0,1,37.0,2014.0,1,4,7,10
120,121,a,a,3570.0,11.0,2009.0,1,36.0,2009.0,3,6,9,12
121,122,a,c,16107.5,4.0,2013.0,0,0.0,2013.0,0,0,0,0
122,123,a,a,16107.5,9.0,2011.0,0,0.0,2011.0,0,0,0,0
123,124,a,a,1410.0,4.0,2003.0,0,0.0,2003.0,0,0,0,0
124,125,a,a,760.0,12.0,2005.0,0,0.0,2005.0,0,0,0,0
125,126,d,a,3370.0,10.0,2014.0,1,18.0,2014.0,2,5,8,11
126,127,d,a,1350.0,12.0,2005.0,1,13.0,2005.0,1,4,7,10
127,128,d,c,2000.0,1.0,1990.0,1,1.0,1990.0,1,4,7,10
128,129,a,a,2460.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
129,130,c,a,900.0,1.0,1990.0,1,13.0,1990.0,1,4,7,10
130,131,c,a,920.0,7.0,2015.0,0,0.0,2015.0,0,0,0,0
131,132,d,c,1040.0,1.0,1990.0,1,27.0,1990.0,1,4,7,10
132,133,a,a,270.0,8.0,2013.0,1,10.0,2013.0,3,6,9,12
133,134,a,a,1200.0,9.0,2008.0,0,0.0,2008.0,0,0,0,0
134,135,d,a,5190.0,1.0,1990.0,1,1.0,1990.0,1,4,7,10
135,136,a,c,2200.0,12.0,2010.0,1,22.0,2010.0,2,5,8,11
136,137,a,a,1730.0,7.0,2015.0,1,40.0,2015.0,1,4,7,10
137,138,a,c,16107.5,10.0,2014.0,0,0.0,2014.0,0,0,0,0
138,139,a,a,1700.0,1.0,2008.0,1,14.0,2008.0,1,4,7,10
139,140,a,c,1090.0,7.0,2010.0,1,1.0,2010.0,1,4,7,10
140,141,c,c,1540.0,1.0,1990.0,1,22.0,1990.0,3,6,9,12
141,142,a,a,1090.0,7.0,2002.0,0,0.0,2002.0,0,0,0,0
142,143,d,a,2930.0,12.0,2002.0,0,0.0,2002.0,0,0,0,0
143,144,a,c,16107.5,1.0,1990.0,0,0.0,1990.0,0,0,0,0
144,145,a,a,280.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
145,146,d,c,8050.0,10.0,1961.0,1,48.0,1961.0,1,4,7,10
146,147,d,c,8540.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
147,148,a,a,2090.0,12.0,2008.0,0,0.0,2008.0,0,0,0,0
148,149,d,a,2610.0,7.0,2006.0,1,14.0,2006.0,1,4,7,10
149,150,c,c,16107.5,3.0,2010.0,0,0.0,2010.0,0,0,0,0
150,151,d,c,4360.0,10.0,2005.0,0,0.0,2005.0,0,0,0,0
151,152,a,a,1780.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
152,153,a,a,16107.5,10.0,2000.0,1,18.0,2000.0,2,5,8,11
153,154,d,c,16107.5,1.0,1990.0,0,0.0,1990.0,0,0,0,0
154,155,d,a,3050.0,1.0,1990.0,1,35.0,1990.0,1,4,7,10
155,156,a,a,2020.0,2.0,2011.0,1,14.0,2011.0,3,6,9,12
156,157,a,c,2950.0,10.0,2004.0,0,0.0,2004.0,0,0,0,0
157,158,d,c,11840.0,1.0,1990.0,1,31.0,1990.0,2,5,8,11
158,159,d,a,8530.0,3.0,2013.0,0,0.0,2013.0,0,0,0,0
159,160,d,c,16107.5,11.0,2005.0,0,0.0,2005.0,0,0,0,0
160,161,a,c,2970.0,3.0,2005.0,0,0.0,2005.0,0,0,0,0
161,162,d,c,5340.0,3.0,2012.0,1,13.0,2012.0,1,4,7,10
162,163,a,a,1480.0,4.0,2009.0,0,0.0,2009.0,0,0,0,0
163,164,a,a,1160.0,9.0,2005.0,1,13.0,2005.0,1,4,7,10
164,165,a,a,3720.0,4.0,2005.0,1,13.0,2005.0,1,4,7,10
165,166,a,c,100.0,4.0,2014.0,1,31.0,2014.0,1,4,7,10
166,167,a,a,140.0,4.0,2008.0,0,0.0,2008.0,0,0,0,0
167,168,a,a,12540.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
168,169,d,a,980.0,7.0,2014.0,1,18.0,2014.0,2,5,8,11
169,170,a,a,1070.0,5.0,2015.0,1,14.0,2015.0,1,4,7,10
170,171,a,a,2640.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
171,172,a,a,110.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
172,173,a,a,350.0,12.0,2012.0,0,0.0,2012.0,0,0,0,0
173,174,a,a,13090.0,1.0,1990.0,1,22.0,1990.0,1,4,7,10
174,175,c,a,4130.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
175,176,a,a,3770.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
176,177,a,a,1250.0,2.0,2004.0,1,5.0,2004.0,2,5,8,11
177,178,d,a,1710.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
178,179,a,c,480.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
179,180,d,a,5800.0,9.0,2010.0,0,0.0,2010.0,0,0,0,0
180,181,a,a,12610.0,3.0,2013.0,1,14.0,2013.0,1,4,7,10
181,182,d,c,1390.0,1.0,1990.0,1,9.0,1990.0,3,6,9,12
182,183,a,a,9670.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
183,184,d,c,3560.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
184,185,d,c,1860.0,5.0,2015.0,0,0.0,2015.0,0,0,0,0
185,186,a,a,290.0,10.0,2011.0,1,40.0,2011.0,1,4,7,10
186,187,a,c,16107.5,1.0,1990.0,0,0.0,1990.0,0,0,0,0
187,188,d,a,850.0,1.0,1990.0,1,18.0,1990.0,2,5,8,11
188,189,d,a,5760.0,7.0,2014.0,0,0.0,2014.0,0,0,0,0
189,190,a,a,1470.0,12.0,2006.0,1,40.0,2006.0,1,4,7,10
190,191,a,a,1100.0,8.0,2013.0,1,40.0,2013.0,1,4,7,10
191,192,d,c,2770.0,3.0,2008.0,1,40.0,2008.0,1,4,7,10
192,193,a,a,520.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
193,194,d,c,16107.5,1.0,1990.0,1,5.0,1990.0,2,5,8,11
194,195,a,c,220.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
195,196,c,a,3850.0,11.0,2005.0,1,14.0,2005.0,1,4,7,10
196,197,c,a,4210.0,3.0,2015.0,0,0.0,2015.0,0,0,0,0
197,198,a,a,290.0,9.0,2002.0,1,13.0,2002.0,1,4,7,10
198,199,d,c,6360.0,12.0,2010.0,1,14.0,2010.0,3,6,9,12
199,200,a,a,1650.0,10.0,2000.0,0,0.0,2000.0,0,0,0,0
200,201,d,a,16107.5,1.0,1990.0,1,18.0,1990.0,3,6,9,12
201,202,d,c,5140.0,5.0,2010.0,0,0.0,2010.0,0,0,0,0
202,203,c,c,490.0,11.0,2002.0,0,0.0,2002.0,0,0,0,0
203,204,a,a,5630.0,12.0,2002.0,1,40.0,2002.0,1,4,7,10
204,205,a,a,110.0,12.0,2007.0,0,0.0,2007.0,0,0,0,0
205,206,a,c,380.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
206,207,a,a,6870.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
207,208,c,a,300.0,4.0,2006.0,0,0.0,2006.0,0,0,0,0
208,209,a,c,11680.0,9.0,2011.0,1,31.0,2011.0,1,4,7,10
209,210,d,a,970.0,11.0,1999.0,1,5.0,1999.0,2,5,8,11
210,211,a,c,350.0,11.0,2006.0,0,0.0,2006.0,0,0,0,0
211,212,a,c,15050.0,9.0,2008.0,0,0.0,2008.0,0,0,0,0
212,213,d,c,4030.0,3.0,2014.0,1,1.0,2014.0,1,4,7,10
213,214,d,a,8650.0,7.0,2013.0,1,10.0,2013.0,1,4,7,10
214,215,d,a,150.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
215,216,c,a,190.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
216,217,c,a,3150.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
217,218,a,c,640.0,1.0,1990.0,1,9.0,1990.0,3,6,9,12
218,219,a,a,1640.0,2.0,2013.0,0,0.0,2013.0,0,0,0,0
219,220,a,a,1000.0,9.0,2008.0,0,0.0,2008.0,0,0,0,0
220,221,d,c,13530.0,9.0,2013.0,0,0.0,2013.0,0,0,0,0
221,222,a,a,2170.0,11.0,2008.0,0,0.0,2008.0,0,0,0,0
222,223,d,c,2920.0,10.0,1995.0,1,27.0,1995.0,1,4,7,10
223,224,d,c,7930.0,1.0,1990.0,1,1.0,1990.0,1,4,7,10
224,225,d,a,10180.0,5.0,2015.0,0,0.0,2015.0,0,0,0,0
225,226,a,a,450.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
226,227,a,a,2370.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
227,228,d,c,10800.0,1.0,1990.0,1,18.0,1990.0,2,5,8,11
228,229,d,c,16107.5,4.0,2007.0,1,14.0,2007.0,1,4,7,10
229,230,d,c,6680.0,9.0,2013.0,0,0.0,2013.0,0,0,0,0
230,231,d,c,3840.0,10.0,2008.0,1,39.0,2008.0,2,5,8,11
231,232,c,c,13570.0,5.0,2010.0,1,10.0,2010.0,3,6,9,12
232,233,a,a,1890.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
233,234,d,a,4370.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
234,235,a,a,5710.0,3.0,2012.0,1,37.0,2012.0,1,4,7,10
235,236,a,a,1000.0,11.0,2007.0,0,0.0,2007.0,0,0,0,0
236,237,a,a,1420.0,11.0,2007.0,0,0.0,2007.0,0,0,0,0
237,238,a,a,320.0,1.0,1990.0,1,45.0,1990.0,2,5,8,11
238,239,d,c,610.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
239,240,a,a,1110.0,5.0,2009.0,0,0.0,2009.0,0,0,0,0
240,241,d,c,780.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
241,242,d,a,6880.0,9.0,2001.0,1,14.0,2001.0,1,4,7,10
242,243,a,a,310.0,1.0,1990.0,1,5.0,1990.0,2,5,8,11
243,244,d,a,710.0,3.0,2012.0,1,1.0,2012.0,1,4,7,10
244,245,a,c,1310.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
245,246,c,a,4660.0,4.0,2013.0,0,0.0,2013.0,0,0,0,0
246,247,d,c,70.0,11.0,2010.0,1,5.0,2010.0,2,5,8,11
247,248,a,c,340.0,9.0,2012.0,1,40.0,2012.0,1,4,7,10
248,249,d,c,16107.5,9.0,2014.0,0,0.0,2014.0,0,0,0,0
249,250,d,a,3520.0,1.0,1990.0,1,18.0,1990.0,2,5,8,11
250,251,a,c,340.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
251,252,d,c,16107.5,1.0,1990.0,1,5.0,1990.0,2,5,8,11
252,253,a,c,250.0,1.0,1990.0,1,5.0,1990.0,2,5,8,11
253,254,d,a,330.0,3.0,2008.0,1,1.0,2008.0,3,6,9,12
254,255,c,c,4630.0,3.0,2011.0,1,35.0,2011.0,2,5,8,11
255,256,a,c,80.0,9.0,2005.0,1,10.0,2005.0,3,6,9,12
256,257,a,a,420.0,12.0,2012.0,0,0.0,2012.0,0,0,0,0
257,258,a,a,16107.5,7.0,2010.0,1,37.0,2010.0,1,4,7,10
258,259,b,b,210.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
259,260,a,a,540.0,10.0,2011.0,0,0.0,2011.0,0,0,0,0
260,261,d,c,15340.0,4.0,2015.0,1,39.0,2015.0,1,4,7,10
261,262,b,a,1180.0,5.0,2013.0,0,0.0,2013.0,0,0,0,0
262,263,a,c,1140.0,5.0,2013.0,1,40.0,2013.0,1,4,7,10
263,264,a,a,180.0,3.0,2014.0,0,0.0,2014.0,0,0,0,0
264,265,a,a,4580.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
265,266,a,c,360.0,3.0,2014.0,1,9.0,2014.0,3,6,9,12
266,267,c,a,2460.0,1.0,2012.0,0,0.0,2012.0,0,0,0,0
267,268,a,a,4520.0,2.0,2014.0,0,0.0,2014.0,0,0,0,0
268,269,a,c,60.0,6.0,2015.0,0,0.0,2015.0,0,0,0,0
269,270,a,a,1450.0,7.0,2014.0,0,0.0,2014.0,0,0,0,0
270,271,a,a,420.0,1.0,1990.0,1,14.0,1990.0,1,4,7,10
271,272,a,a,16107.5,7.0,2003.0,1,14.0,2003.0,1,4,7,10
272,273,a,c,8480.0,1.0,1990.0,0,0.0,1990.0,0,0,0,0
273,274,b,b,3640.0,1.0,1990.0,1,10.0,1990.0,1,4,7,10
274,275,d,a,300.0,5.0,2014.0,1,40.0,2014.0,1,4,7,10
275,276,a,a,2960.0,10.0,2014.0,1,36.0,2014.0,3,6,9,12
276,277,d,c,7840.0,1.0,1990.0,1,31.0,1990.0,2,5,8,11
277,278,a,c,9260.0,2.0,2010.0,0,0.0,2010.0,0,0,0,0
278,279,d,c,2320.0,1.0,1990.0,1,40.0,1990.0,1,4,7,10
279,280,d,c,16107.5,9.0,2013.0,1,10.0,2013.0,3,6,9,12
